Date,r_price,Event,Positive Event,Negative Event
2019-03-23,0.00146521877604392,0,0,0
2019-03-24,0.004947906596480848,0,0,0
2019-03-25,-0.003886489419805331,0,0,0
2019-03-26,-0.01661894957803453,0,0,0
2019-03-27,0.002817726928926372,0,0,0
2019-03-28,0.02445347361235311,0,0,0
2019-03-29,-0.001926856924961558,0,0,0
2019-03-30,0.01842998359414124,0,0,0
2019-03-31,0.0001300231912704647,0,0,0
2019-04-01,-8.155656489963593e-05,0,0,0
2019-04-02,0.01037609314525874,0,0,0
2019-04-03,0.1592756096063592,1,1,0
2019-04-04,0.01906776098911978,0,0,0
2019-04-05,-0.01152952710130201,0,0,0
2019-04-06,0.02338911090152625,0,0,0
2019-04-07,0.005352248549094146,0,0,0
2019-04-08,0.02644460413864531,0,0,0
2019-04-09,0.01721949655023249,0,0,0
2019-04-10,-0.0181476148487836,0,0,0
2019-04-11,0.0260923804155002,0,0,0
2019-04-12,-0.05043457774790294,0,0,0
2019-04-13,0.00684525987756111,0,0,0
2019-04-14,-0.001866576399764841,0,0,0
2019-04-15,0.01493376390939004,0,0,0
2019-04-16,-0.02148112347466899,0,0,0
2019-04-17,0.03388781058074463,0,0,0
2019-04-18,0.001027317588618821,0,0,0
2019-04-19,0.01063690798270599,0,0,0
2019-04-20,0.001058714784247206,0,0,0
2019-04-21,0.005163333424691402,0,0,0
2019-04-22,0.000654619976597781,0,0,0
2019-04-23,0.01305111914659382,0,0,0
2019-04-24,0.03236267044980608,0,0,0
2019-04-25,-0.01922379092201831,0,0,0
2019-04-26,-0.04674876660218787,0,0,0
2019-04-27,0.0176705783665507,0,0,0
2019-04-28,-0.007366689564928031,0,0,0
2019-04-29,0.0001570069326371421,0,0,0
2019-04-30,-0.01110179555111579,0,0,0
2019-05-01,0.0177366466047098,0,0,0
2019-05-02,0.01160538207940922,0,0,0
2019-05-03,0.01779171598195785,0,0,0
2019-05-04,0.05023081722444905,1,1,0
2019-05-05,0.01256149477827227,0,0,0
2019-05-06,-0.009455322913263925,0,0,0
2019-05-07,-0.005855473789666802,0,0,0
2019-05-08,0.0216844501437801,0,0,0
2019-05-09,0.01979958697243513,0,0,0
2019-05-10,0.03470743909630681,0,0,0
2019-05-11,0.0322179187913935,0,0,0
2019-05-12,0.1305041414214926,1,1,0
2019-05-13,-0.04285902503477278,0,0,0
2019-05-14,0.1156090358382157,0,0,0
2019-05-15,0.02330739470249275,0,0,0
2019-05-16,0.02498759393087994,0,0,0
2019-05-17,-0.03937616673456844,0,0,0
2019-05-18,-0.07001107607599934,0,0,0
2019-05-19,-0.005833971911986024,0,0,0
2019-05-20,0.1123494426291284,0,0,0
2019-05-21,-0.023769723050032,0,0,0
2019-05-22,-0.002320168572562459,0,0,0
2019-05-23,-0.03745517587490267,0,0,0
2019-05-24,0.02524874804576555,0,0,0
2019-05-25,0.01457588400204444,0,0,0
2019-05-26,0.007540845077212702,0,0,0
2019-05-27,0.07123576495626396,0,0,0
2019-05-28,0.02120239032022182,0,0,0
2019-05-29,-0.0101529394556015,0,0,0
2019-05-30,-0.008781529216571549,0,0,0
2019-05-31,-0.0400707997825927,0,0,0
2019-06-01,0.03135953577218004,0,0,0
2019-06-02,-0.002496760200866134,0,0,0
2019-06-03,0.02190446004418883,0,0,0
2019-06-04,-0.06742061000640734,0,0,0
2019-06-05,-0.06182054988637133,0,0,0
2019-06-06,0.01662556180047213,0,0,0
2019-06-07,0.001109796639681008,0,0,0
2019-06-08,0.02711664109894708,0,0,0
2019-06-09,-0.01171187297830478,0,0,0
2019-06-10,-0.03517334419966434,0,0,0
2019-06-11,0.04272304232231809,1,1,0
2019-06-12,-0.01317627348428044,0,0,0
2019-06-13,0.03080503993675162,0,0,0
2019-06-14,0.01008598507775283,0,0,0
2019-06-15,0.05254492477029419,0,0,0
2019-06-16,0.01682179768472289,0,0,0
2019-06-17,0.01799898478484984,0,0,0
2019-06-18,0.03653394125961977,0,0,0
2019-06-19,-0.02377988470384704,0,0,0
2019-06-20,0.02088296191446598,0,0,0
2019-06-21,0.02786444503422476,0,0,0
2019-06-22,0.05798688798609598,0,0,0
2019-06-23,0.05635210794608267,0,0,0
2019-06-24,0.01310423298950797,0,0,0
2019-06-25,0.01821978740177283,0,0,0
2019-06-26,0.06678515828007714,0,0,0
2019-06-27,0.0958383573270375,1,1,0
2019-06-28,-0.1506425245513281,0,0,0
2019-06-29,0.09982527015051136,0,0,0
2019-06-30,-0.03121692831988968,0,0,0
2019-07-01,-0.09494681192811649,0,0,0
2019-07-02,-0.02313934517868966,0,0,0
2019-07-03,0.01712086443506748,0,0,0
2019-07-04,0.1012226587792408,0,0,0
2019-07-05,-0.06432071929871863,0,0,0
2019-07-06,-0.0218182441002598,0,0,0
2019-07-07,0.02624941905061083,0,0,0
2019-07-08,0.01381911505040765,0,0,0
2019-07-09,0.06956104917252082,0,0,0
2019-07-10,0.02289080872394064,0,0,0
2019-07-11,-0.03057788429231972,0,0,0
2019-07-12,-0.06637590054540364,0,0,0
2019-07-13,0.03618412149828908,0,0,0
2019-07-14,-0.03325024882132311,0,0,0
2019-07-15,-0.1045045300979181,0,0,0
2019-07-16,0.0590717328868552,0,0,0
2019-07-17,-0.1344325531976742,0,0,0
2019-07-18,0.01234389223707953,0,0,0
2019-07-19,0.09654468771428439,0,0,0
2019-07-20,-0.009407445603294871,0,0,0
2019-07-21,0.02231024870059234,0,0,0
2019-07-22,-0.01560405514995064,0,0,0
2019-07-23,-0.02521714199821969,0,0,0
2019-07-24,-0.04013787490207871,0,0,0
2019-07-25,-0.01389124716896077,0,0,0
2019-07-26,0.008021942806613948,0,0,0
2019-07-27,-0.003268316407739638,0,0,0
2019-07-28,-0.04129618566376673,0,0,0
2019-07-29,0.00917454916443151,0,0,0
2019-07-30,-0.002537300591429189,0,0,0
2019-07-31,0.006063628409756649,0,0,0
2019-08-01,0.05039504534481036,0,0,0
2019-08-02,0.02921390790463774,0,0,0
2019-08-03,0.0160708120360872,0,0,0
2019-08-04,0.02458135386991441,0,0,0
2019-08-05,0.01475396570998064,0,0,0
2019-08-06,0.07618325926873629,0,0,0
2019-08-07,-0.02643777607743117,0,0,0
2019-08-08,0.03922796721157581,0,0,0
2019-08-09,0.004473776069115009,0,0,0
2019-08-10,-0.01438821424883906,0,0,0
2019-08-11,-0.04528036777753308,0,0,0
2019-08-12,0.01942164867580309,0,0,0
2019-08-13,-0.01471878951442347,0,0,0
2019-08-14,-0.04286845158670154,0,0,0
2019-08-15,-0.08489253506074618,0,0,0
2019-08-16,0.02753801939277766,0,0,0
2019-08-17,0.002823981026081243,0,0,0
2019-08-18,-0.009808229841563536,0,0,0
2019-08-19,0.008342636203179666,0,0,0
2019-08-20,0.05529124027217103,0,0,0
2019-08-21,-0.01406531605455285,0,0,0
2019-08-22,-0.05941325653930701,0,0,0
2019-08-23,0.0003685237553075817,0,0,0
2019-08-24,0.0251283612585676,0,0,0
2019-08-25,-0.02342927438489967,0,0,0
2019-08-26,-0.005431266384895116,0,0,0
2019-08-27,0.02397672723464316,0,0,0
2019-08-28,-0.01629300867602686,0,0,0
2019-08-29,-0.04160978847412268,0,0,0
2019-08-30,-0.02789835357828398,0,0,0
2019-08-31,0.01088879127622149,0,0,0
2019-09-01,0.001906803909161093,0,0,0
2019-09-02,0.01261637167351045,0,0,0
2019-09-03,0.05923813022500488,0,0,0
2019-09-04,0.02837795963021083,0,0,0
2019-09-05,-0.004402263774635489,0,0,0
2019-09-06,-0.0003088606262076539,0,0,0
2019-09-07,-0.02098462674597957,0,0,0
2019-09-08,0.01064759524556151,0,0,0
2019-09-09,-0.005483973805047998,0,0,0
2019-09-10,-0.007951526147670043,0,0,0
2019-09-11,-0.01964833381490919,0,0,0
2019-09-12,0.002921075531569559,0,0,0
2019-09-13,0.02438905730674266,0,0,0
2019-09-14,-0.004402679732312361,0,0,0
2019-09-15,-0.0005868039686676173,0,0,0
2019-09-16,-0.004248513378080338,0,0,0
2019-09-17,-0.003621385132985126,0,0,0
2019-09-18,-0.006384573208558144,0,0,0
2019-09-19,-0.004343066553557462,0,0,0
2019-09-20,0.009247318056796698,0,0,0
2019-09-21,-0.00732099900933811,0,0,0
2019-09-22,-0.01796696792366189,0,0,0
2019-09-23,0.00440196372263802,0,0,0
2019-09-24,-0.03463215939070657,0,0,0
2019-09-25,-0.108439970094148,1,0,1
2019-09-26,-0.02991301761301458,0,0,0
2019-09-27,-0.04200474404981246,0,0,0
2019-09-28,0.01040065974506952,0,0,0
2019-09-29,0.005073940746254643,0,0,0
2019-09-30,-0.01973476045508757,0,0,0
2019-10-01,0.02533363061025827,0,0,0
2019-10-02,0.01144551798734635,0,0,0
2019-10-03,-0.001958737103269759,0,0,0
2019-10-04,-0.02103095359670813,0,0,0
2019-10-05,-0.002428860350428666,0,0,0
2019-10-06,-0.00199758393072913,0,0,0
2019-10-07,-0.03119413223876891,0,0,0
2019-10-08,0.03634153206281394,0,0,0
2019-10-09,-0.000190731328794798,0,0,0
2019-10-10,0.0468481011846216,0,0,0
2019-10-11,-0.001347072337897338,0,0,0
2019-10-12,-0.03369459248751303,0,0,0
2019-10-13,0.003692519184575302,0,0,0
2019-10-14,-0.002286272493835887,0,0,0
2019-10-15,0.006954844823873527,0,0,0
2019-10-16,-0.02075787448940119,0,0,0
2019-10-17,-0.02045780498628797,0,0,0
2019-10-18,0.008654904073060226,0,0,0
2019-10-19,-0.01529187222124248,0,0,0
