Date,Positive Event Days Elapsed,Probability,Distribution,Parameters
2013-11-19,1,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-20,2,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-21,3,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-22,4,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-23,5,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-24,6,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-25,7,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-26,8,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-27,9,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-28,10,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-29,11,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-11-30,12,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-01,13,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-02,14,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-03,15,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-04,16,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-05,17,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-06,18,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-07,19,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-08,20,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-09,21,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-10,22,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-11,23,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-12,24,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-13,25,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-14,26,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-15,27,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-16,28,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-17,29,0.0,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
