Date,price,market_cap,total_volume,r_price,d_r_price,Event,Positive Event,Negative Event,Positive Event Days Elapsed
2022-12-29,16538.9060940019,318288869204.814,19113614755.8746,-0.009803355200248446,0.001996205602866046,0,0,0,54
2022-12-30,16644.3790870379,320297298175.876,15683731676.9981,0.006357016651921313,0.01616037185216976,0,0,0,55
2022-12-31,16604.0205203733,319722045805.095,17497327983.3493,-0.002427700999929418,-0.00878471765185073,0,0,0,56
2023-01-01,16540.6936247768,318278329991.701,12013247678.0295,-0.003821241141306493,-0.001393540141377075,0,0,0,57
2023-01-02,16615.9693180128,319832024054.63,9799252684.08995,0.004540615121426585,0.008361856262733077,0,0,0,58
2023-01-03,16674.342536301,321486454934.267,13023861027.7694,0.003506922877078,-0.001033692244348585,0,0,0,59
2023-01-04,16677.6461858503,321080820418.183,15367167883.495,0.0001981081000972984,-0.003308814776980701,0,0,0,60
2023-01-05,16855.1747387671,324397588037.394,20836560771.7236,0.01058844479262154,0.01039033669252424,0,0,0,61
2023-01-06,16832.0989884978,324138957221.055,14919039445.1069,-0.001369998300566069,-0.01195844309318761,0,0,0,62
2023-01-07,16960.2320624751,326571439011.656,19046576249.7285,0.00758359569045729,0.00895359399102336,0,0,0,63
2023-01-08,16950.8615218539,326371741274.41,9594456673.44897,-0.0005526534162867437,-0.008136249106744034,0,0,0,64
2023-01-09,17074.6153957267,328470896861.378,11841041542.9937,0.007274221011966822,0.007826874428253566,0,0,0,65
2023-01-10,17194.9093294531,331158152699.255,25532751567.1981,0.007020489999248206,-0.0002537310127186153,0,0,0,66
2023-01-11,17436.9023297811,335743942932.349,21858206845.2923,0.01397541320551964,0.006954923206271436,0,0,0,67
2023-01-12,17996.8325537416,345688973386.69,25439279072.9818,0.03160698917563319,0.01763157597011355,0,0,0,68
2023-01-13,18866.810330617,363381125082.765,48025109150.1773,0.04720853803386588,0.01560154885823269,0,0,0,69
2023-01-14,19941.7805432963,382675302196.489,39514419053.1768,0.05541274438804132,0.008204206354175438,0,0,0,70
2023-01-15,21019.2066140226,405209898132.005,49498711311.533,0.05261956480172836,-0.002793179586312963,0,0,0,71
2023-01-16,20853.2305694902,401697403586.517,23072133987.5536,-0.007927740775670366,-0.06054730557739872,0,0,0,72
2023-01-17,21175.3377366252,407760358639.002,34809391745.5449,0.01532831056936368,0.02325605134503404,0,0,0,73
2023-01-18,21156.7839311671,407405144842.939,33278841336.5085,-0.0008765828838799734,-0.01620489345324365,0,0,0,74
2023-01-19,20726.8449694264,399349603616.145,40612056908.8089,-0.02053088880547211,-0.01965430592159213,1,0,1,75
2023-01-20,21081.6710222043,406258441952.372,29144534677.575,0.01697427253131054,0.03750516133678265,0,0,0,76
2023-01-21,22705.833678899,436724993652.427,41321936668.6279,0.07421789069641276,0.05724361816510221,1,1,0,77
2023-01-22,22771.0232870217,438578588179.06,44077026803.6608,0.002866937476474807,-0.07135095321993795,0,0,0,1
2023-01-23,22736.6614289297,438060367560.355,34124364415.4391,-0.00151015657407642,-0.004377094050551227,0,0,0,2
2023-01-24,22984.8749764372,442926343072.592,36750647385.6529,0.01085772725563189,0.01236788382970831,0,0,0,3
2023-01-25,22610.0105982728,435679436196.357,35621897292.9515,-0.01644363485643049,-0.02730136211206238,0,0,0,4
2023-01-26,23180.4226978742,446715261348.751,42772537174.7236,0.02491531816903546,0.04135895302546595,0,0,0,5
2023-01-27,23024.746180817,444005849172.139,37099702812.2277,-0.006738514755350426,-0.03165383292438589,0,0,0,6
2023-01-28,23082.8583821229,444898315874.055,36109035905.2589,0.002520722237789421,0.009259236993139847,0,0,0,7
2023-01-29,23022.2329913534,443702765526.116,19567219823.878,-0.00262987986381742,-0.005150602101606842,0,0,0,8
2023-01-30,23797.4608948812,458368002025.743,38438621263.5811,0.0331184890770037,0.03574836894082112,0,0,0,9
2023-01-31,22840.3858587971,439295730927.164,38594596831.972,-0.04104861125916946,-0.07416710033617316,1,0,1,10
2023-02-01,23137.3235540883,445991168199.328,32683643418.3294,0.01291677326123041,0.05396538452039987,0,0,0,11
2023-02-02,23725.1617961422,457383099382.75,37452064508.1738,0.025089112221254,0.01217233896002359,0,0,0,12
2023-02-03,23539.6767701965,453565018922.545,44735297656.6982,-0.007848793470260629,-0.03293790569151463,0,0,0,13
